id,word,freq,thetime
1320170218,달러,480,201702
1320170219,안보,562,201702
1320170220,인도,462,201702
1320170301,중국,3880,201703
1320170302,트럼프,3100,201703
1320170303,북한,2899,201703
1320170304,대통령,2957,201703
1320170305,미국,3291,201703
1320170306,말레이시아,1212,201703
1320170307,김정남,1281,201703
1320170308,경찰,1284,201703
1320170309,총리,1218,201703
1320170310,사드,1267,201703
1320170311,미사일,1058,201703
1320170312,영국,921,201703
1320170313,발사,674,201703
1320170314,테러,692,201703
1320170315,배치,1000,201703
1320170316,틸러슨,685,201703
1320170317,달러,727,201703
1320170318,대선,761,201703
1320170319,시신,569,201703
1320170320,대변인,654,201703
1420161001,컨센서스,6653,201610
1420161002,테마,1370,201610
1420161003,변동,919,201610
1420161004,동종,5897,201610
1420161005,삼성,2274,201610
1420161006,외국인,4301,201610
1420161007,내역,684,201610
1420161008,지분,825,201610
1420161009,전자,2060,201610
1420161010,로봇,6198,201610
1420161011,리포트,4025,201610
1420161012,증시,5606,201610
1420161013,상승,5261,201610
1420161014,하락,3168,201610
1420161015,추이,3470,201610
1420161016,감소,2370,201610
1420161017,증권,2184,201610
1420161018,전기,1302,201610
1420161019,매물,3143,201610
1420161020,증권사,4127,201610
1420161101,컨센서스,5966,201611
1420161102,테마,1039,201611
1420161103,동종,5159,201611
1420161104,외국인,3898,201611
1420161105,삼성,1887,201611
1420161106,전자,1800,201611
1420161107,상승,4946,201611
1420161108,리포트,3620,201611
1420161109,로봇,5124,201611
1420161110,하락,3252,201611
1420161111,증시,4719,201611
1420161112,pbr,2181,201611
1420161113,추이,3102,201611
1420161114,전기,1338,201611
1420161115,감소,2175,201611
1420161116,지분,513,201611
1420161117,증권사,3944,201611
1420161118,내역,327,201611
1420161119,동기,532,201611
1420161120,미국,1339,201611
1420161201,삼성,1522,201612
1420161202,전자,1480,201612
1420161203,은행,826,201612
1420161204,특허,974,201612
1420161205,전기,838,201612
1420161206,금융,718,201612
1420161207,중소,125,201612
1420161208,미국,953,201612
1420161209,대통령,505,201612
1420161210,정보,822,201612
1420161211,차량,627,201612
1420161212,에너지,664,201612
1420161213,인기,1820,201612
1420161214,자율,514,201612
1420161215,중국,677,201612
1420161216,수출,554,201612
1420161217,출시,628,201612
1420161218,애플,460,201612
1420161219,협력,574,201612
1420161220,데이터,680,201612
1420170101,삼성,1276,201701
1420170102,전자,1455,201701
1420170103,은행,876,201701
1420170104,특허,925,201701
1420170105,미국,1257,201701
1420170106,전기,810,201701
1420170107,금융,832,201701
1420170108,수출,730,201701
1420170109,중국,826,201701
1420170110,출시,773,201701
1420170111,중소,146,201701
1420170112,에너지,722,201701
1420170113,스마트,669,201701
1420170114,로봇,583,201701
1420170115,정보,735,201701
1420170116,차량,551,201701
1420170117,라스베이거스,223,201701
1420170118,펀드,373,201701
1420170119,반도체,515,201701
1420170120,자율,542,201701
1420170201,삼성,1231,201701
1420170202,전자,1159,201701
1420170203,은행,627,201701
1420170204,반도체,553,201701
1420170205,특허,405,201701
1420170206,금융,517,201701
1420170207,미국,631,201701
1420170208,전기,376,201701
1420170209,데이터,521,201701
1420170210,디스플레이,393,201701
1420170211,수출,341,201701
1420170212,중국,438,201701
1420170213,출시,467,201701
1420170214,에너지,327,201701
1420170215,보안,420,201701
1420170216,정보,470,201701
1420170217,온라인,327,201701
1420170218,전략,411,201701
